Trial,Event Type,Time,start_TR,end_TR,total_TR,Duration,Title,Type,NMov,subject,session,task,run
10,Video,7321440,171,195,195,24,M22shirtD.avi,M,22,8,2,3,1
1,Video,449146,4,24,150,20,S5cardD.avi,S,5,8,2,4,2
2,Video,1394195,27,43,150,16,S4buttonD.avi,S,4,8,2,4,2
3,Video,2174887,46,66,150,20,M5cardD.avi,M,5,8,2,4,2
4,Video,3119936,69,91,150,22,S2boatD.avi,S,2,8,2,4,2
5,Video,4147246,94,110,150,16,M4buttonD.avi,M,4,8,2,4,2
6,Video,4927939,113,150,150,37,M2boatD.avi,M,2,8,2,4,2
1,Video,471149,4,31,225,27,S8frameD.avi,S,8,9,1,1,2
2,Video,1703821,34,51,225,17,S6cigaretteD.avi,S,6,9,1,1,2
3,Video,2525603,54,81,225,27,M8frameD.avi,M,8,9,1,1,2
4,Video,3758359,84,103,225,19,S3breakfastD.avi,S,3,9,1,1,2
5,Video,4662318,106,123,225,17,M6cigaretteD.avi,M,6,9,1,1,2
6,Video,5484100,126,138,225,12,S1ballonD.avi,S,1,9,1,1,2
7,Video,6100436,141,160,225,19,M3breakfastD.avi,M,3,9,1,1,2
8,Video,7004479,163,182,225,19,S7flowersD.avi,S,7,9,1,1,2
9,Video,7908439,185,197,225,12,M1ballonD.avi,M,1,9,1,1,2
10,Video,8524775,200,225,225,25,M7flowersD.avi,M,7,9,1,1,2
1,Video,459064,4,16,195,12,S13lightD.avi,S,13,9,2,3,1
2,Video,1075400,19,39,195,20,S16pencilD.avi,S,16,9,2,3,1
3,Video,2020449,42,54,195,12,M13lightD.avi,M,13,9,2,3,1
4,Video,2636785,57,72,195,15,S18removerD.avi,S,18,9,2,3,1
5,Video,3376472,75,95,195,20,M16pencilD.avi,M,16,9,2,3,1
6,Video,4321521,98,116,195,18,S19sandwichD.avi,S,19,9,2,3,1
7,Video,5184391,119,134,195,15,M18removerD.avi,M,18,9,2,3,1
8,Video,5923995,137,146,195,9,S22shirtD.avi,S,22,9,2,3,1
9,Video,6417063,149,167,195,18,M19sandwichD.avi,M,19,9,2,3,1
10,Video,7279934,170,195,195,25,M22shirtD.avi,M,22,9,2,3,1
1,Video,454563,4,24,150,20,S5cardD.avi,S,5,9,2,4,2
2,Video,1399612,27,43,150,16,S4buttonD.avi,S,4,9,2,4,2
3,Video,2180305,46,66,150,20,M5cardD.avi,M,5,9,2,4,2
4,Video,3125354,69,91,150,22,S2boatD.avi,S,2,9,2,4,2
5,Video,4152581,94,110,150,16,M4buttonD.avi,M,4,9,2,4,2
6,Video,4933273,113,150,150,37,M2boatD.avi,M,2,9,2,4,2
1,Video,437060,4,31,220,27,S8frameD.avi,S,8,10,1,1,2
2,Video,1669732,34,51,220,17,S6cigaretteD.avi,S,6,10,1,1,2
